Gender,Age,Female_Eyes,FE_PercentConfident,Female_Mouth,FM_PercentConfident,Female_Full,FF_PercentConfident,Male_Eyes,ME_PercentConfident,Male_Mouth,MM_PercentConfident,Male_Full,MF_PercentConfident
M,25,8,82,6,79,7,91,8,83,7,60,8,84
M,19,7,64,6,61,8,73,7,65,6,66,8,77
F,22,8,87,7,62,8,100,6,71,3,44,7,95
F,25,8,91,7,82,8,95,7,63,6,90,8,89
M,25,6,100,6,100,7,100,8,100,6,100,8,100
F,25,8,43,6,41,8,50,6,47,8,39,8,41
F,28,8,69,6,62,8,88,8,49,5,39,7,57
M,35,8,81,4,81,7,89,8,82,8,75,8,91
M,28,8,62,6,54,8,60,8,53,6,47,7,68
M,29,8,91,8,61,8,93,7,76,4,66,7,92
F,25,8,99,3,78,8,97,7,91,8,78,7,97
