iq	hrs	word.type	ms	male
93.5866550304	4.0464454958	regular	1046.8626936559	0
82.2073199233	4.3203863466	regular	976.7212595292	1
89.0238957754	3.9509097878	regular	992.4267310261	0
108.8932763439	4.1310784311	regular	914.1552893425	0
81.331060571	3.8655284417	regular	1124.0581916149	1
89.9213411443	4.2926802379	regular	957.0606024384	1
88.7207582315	4.5112593076	regular	933.5827898304	1
103.0508902678	4.2679778552	regular	1068.4302942258	1
104.6227440727	4.0824614661	regular	998.1384350591	0
95.8566894707	3.8177302881	regular	918.5552656239	0
77.3429404213	4.3679546979	regular	1032.3005721868	0
78.4035957175	4.8805043034	regular	944.0826245544	1
101.9235506991	3.702256038	regular	989.6519531873	0
124.882384329	4.4814929386	regular	904.2982322594	1
102.3181480435	3.7636817451	regular	1021.7647135043	0
90.4413387595	3.7792518891	regular	1112.8822896617	1
90.4401039172	4.9283706978	regular	1045.8140005637	0
60.168115617	3.4101426246	regular	1193.225196829	1
91.7831979272	3.5867613789	regular	1051.834132471	0
86.375475723	4.5403439852	regular	1052.8409120041	1
118.4666043603	3.3896403222	regular	968.5642684833	1
90.056740168	4.6054608958	regular	973.5882524932	1
92.0618322556	3.3395707233	regular	1022.3074832753	0
106.1051697989	3.9567740125	regular	991.6065151468	1
90.6645390213	3.7594966064	regular	1114.1656380448	1
123.4418405537	4.1436291467	regular	880.3233896703	1
96.095734681	3.7071826525	regular	1066.3749124538	0
111.1776038405	3.9571159219	regular	907.2439841215	0
103.7277171783	4.9488604146	regular	989.7542440699	1
99.4143670408	3.3876291273	regular	968.0007754412	0
126.9288350461	4.1674570715	regular	900.7179278288	0
95.5111694924	4.2455703584	regular	914.687970013	0
999	3.9074468494	regular	979.7168685362	1
116.9590868607	4.58931265	regular	1036.7404145491	1
92.0114796675	4.1560472643	regular	1023.65268308	0
106.9547937726	4.6822319872	regular	871.5569865389	1
96.5904774434	4.0105707128	regular	1047.8686903438	0
85.9997377804	3.0975357939	regular	1012.3927126059	0
101.8237683313	3.8272211734	regular	995.3521077329	1
90.7821627466	3.4452486033	regular	1049.2296446757	0
97.5590130899	4.2435001356	regular	1008.7918571046	0
110.4954461759	2.6350431494	regular	1011.5371335076	1
93.7072738359	3.969786592	regular	900.2666135885	1
97.7611196164	4.1694432939	regular	953.1958916924	1
118.7886743674	3.7649544204	regular	925.2938845261	1
112.4636489674	4.3565629338	regular	968.4304071998	1
104.7953467252	3.2112560539	regular	997.6018225001	1
89.3425040304	3.7984869063	regular	1074.9704061094	0
116.4286439229	3.7961291243	regular	969.7038681819	0
97.0673577845	4.5769034366	regular	977.1060730206	1
86.0131433112	3.6749933759	regular	1050.4775629632	0
83.584976417	4.566162171	regular	1114.2826885207	1
103.6704052917	4.051961992	regular	1041.7932244359	1
92.9206053597	3.4601763083	regular	917.9358594469	0
107.541185261	3.5724612988	regular	999.1880524753	0
105.253647959	3.580556936	regular	1038.2191310771	1
90.3609362507	4.771296223	regular	1028.0190368612	0
89.1751394878	3.5867199828	regular	1034.1358808717	0
96.8189384493	4.3620243272	regular	934.7485052534	0
102.1372972071	3.8402755521	regular	992.727133218	1
45.125724224	4.2168025704	regular	1099.3669332446	0
123.991740232	3.6810548607	regular	958.3339518919	0
123.0967298696	4.1813641888	regular	1001.9150200971	0
78.7290090555	2.8602254369	regular	1128.4907435103	1
96.8103639048	4.3308641141	regular	984.878478192	0
94.8497088276	4.8910851723	regular	1044.3431825923	1
115.8230419972	4.3191892139	regular	873.5359177617	1
80.8856160285	4.3872386278	regular	1013.50140939	0
117.79217061	4.1323724634	regular	961.6691749095	1
109.4992918531	3.3225426335	regular	924.540227793	1
95.9587529781	3.9046998602	regular	972.0033865919	1
